Train on 370515 samples, validate on 123506 samples
Epoch 1/1
 74016/370515 [====>.........................] - ETA: 39s - loss: 1.7949
 74336/370515 [=====>........................] - ETA: 39s - loss: 1.7889
 74880/370515 [=====>........................] - ETA: 39s - loss: 1.7784
 75424/370515 [=====>........................] - ETA: 39s - loss: 1.7667
 76032/370515 [=====>........................] - ETA: 39s - loss: 1.7543
 76512/370515 [=====>........................] - ETA: 39s - loss: 1.7460
 77120/370515 [=====>........................] - ETA: 39s - loss: 1.7346
 77696/370515 [=====>........................] - ETA: 38s - loss: 1.7229
 78208/370515 [=====>........................] - ETA: 38s - loss: 1.7131
 78720/370515 [=====>........................] - ETA: 38s - loss: 1.7031
 79296/370515 [=====>........................] - ETA: 38s - loss: 1.6926
 79936/370515 [=====>........................] - ETA: 38s - loss: 1.6800
 80512/370515 [=====>........................] - ETA: 38s - loss: 1.6690
 80992/370515 [=====>........................] - ETA: 38s - loss: 1.6605
 81568/370515 [=====>........................] - ETA: 37s - loss: 1.6504
 82176/370515 [=====>........................] - ETA: 37s - loss: 1.6402
 82720/370515 [=====>........................] - ETA: 37s - loss: 1.6315
 83200/370515 [=====>........................] - ETA: 37s - loss: 1.6237
 83712/370515 [=====>........................] - ETA: 37s - loss: 1.6157
 84320/370515 [=====>........................] - ETA: 37s - loss: 1.6056
 84960/370515 [=====>........................] - ETA: 37s - loss: 1.5943
 85408/370515 [=====>........................] - ETA: 36s - loss: 1.5874
 85888/370515 [=====>........................] - ETA: 36s - loss: 1.5804
 86464/370515 [======>.......................] - ETA: 36s - loss: 1.5724
 87040/370515 [======>.......................] - ETA: 36s - loss: 1.5644
 87520/370515 [======>.......................] - ETA: 36s - loss: 1.5569
 87968/370515 [======>.......................] - ETA: 36s - loss: 1.5497
 88480/370515 [======>.......................] - ETA: 36s - loss: 1.5426
 89088/370515 [======>.......................] - ETA: 36s - loss: 1.5347
 89536/370515 [======>.......................] - ETA: 36s - loss: 1.5293
 90112/370515 [======>.......................] - ETA: 35s - loss: 1.5220
 90752/370515 [======>.......................] - ETA: 35s - loss: 1.5140
 91232/370515 [======>.......................] - ETA: 35s - loss: 1.5079
 91616/370515 [======>.......................] - ETA: 35s - loss: 1.5026
 92160/370515 [======>.......................] - ETA: 35s - loss: 1.4961
 92704/370515 [======>.......................] - ETA: 35s - loss: 1.4881
 93184/370515 [======>.......................] - ETA: 35s - loss: 1.4824
 93664/370515 [======>.......................] - ETA: 35s - loss: 1.4757
 94176/370515 [======>.......................] - ETA: 35s - loss: 1.4692
 94784/370515 [======>.......................] - ETA: 34s - loss: 1.4622
 95392/370515 [======>.......................] - ETA: 34s - loss: 1.4554
 95776/370515 [======>.......................] - ETA: 34s - loss: 1.4503
 96352/370515 [======>.......................] - ETA: 34s - loss: 1.4436
 96928/370515 [======>.......................] - ETA: 34s - loss: 1.4359
 97568/370515 [======>.......................] - ETA: 34s - loss: 1.4283
 98016/370515 [======>.......................] - ETA: 34s - loss: 1.4230
 98464/370515 [======>.......................] - ETA: 34s - loss: 1.4177
 99072/370515 [=======>......................] - ETA: 34s - loss: 1.4116
 99648/370515 [=======>......................] - ETA: 33s - loss: 1.4065
100096/370515 [=======>......................] - ETA: 33s - loss: 1.4011
100640/370515 [=======>......................] - ETA: 33s - loss: 1.3950
101248/370515 [=======>......................] - ETA: 33s - loss: 1.3885
101856/370515 [=======>......................] - ETA: 33s - loss: 1.3816
102208/370515 [=======>......................] - ETA: 33s - loss: 1.3780
102784/370515 [=======>......................] - ETA: 33s - loss: 1.3717
103360/370515 [=======>......................] - ETA: 33s - loss: 1.3659
103904/370515 [=======>......................] - ETA: 33s - loss: 1.3602
104320/370515 [=======>......................] - ETA: 33s - loss: 1.3554
104960/370515 [=======>......................] - ETA: 32s - loss: 1.3484
105568/370515 [=======>......................] - ETA: 32s - loss: 1.3424
106176/370515 [=======>......................] - ETA: 32s - loss: 1.3356
106592/370515 [=======>......................] - ETA: 32s - loss: 1.3321
107200/370515 [=======>......................] - ETA: 32s - loss: 1.3258
107744/370515 [=======>......................] - ETA: 32s - loss: 1.3198
108224/370515 [=======>......................] - ETA: 32s - loss: 1.3158
108672/370515 [=======>......................] - ETA: 32s - loss: 1.3114
109248/370515 [=======>......................] - ETA: 32s - loss: 1.3053
109856/370515 [=======>......................] - ETA: 31s - loss: 1.2993
110400/370515 [=======>......................] - ETA: 31s - loss: 1.2937
110816/370515 [=======>......................] - ETA: 31s - loss: 1.2895
111424/370515 [========>.....................] - ETA: 31s - loss: 1.2837
112064/370515 [========>.....................] - ETA: 31s - loss: 1.2780
112672/370515 [========>.....................] - ETA: 31s - loss: 1.2728
113120/370515 [========>.....................] - ETA: 31s - loss: 1.2689
